Date,Open,High,Low,Close,Adj Close,Volume
6/5/2002,104.949997,105.669998,104.349998,105.610001,78.149277,19695900
6/6/2002,105.540001,105.599998,103.150002,103.459999,76.558311,22998500
6/7/2002,101.779999,103.919998,101.720001,103.339996,76.46949,24011600
6/10/2002,103.239998,104.459999,103.019997,103.739998,76.765511,18759900
6/11/2002,104.129997,104.540001,101.730003,101.959999,75.448334,19990700
6/12/2002,101.709999,102.809998,100.779999,102.580002,75.907135,31266000
6/13/2002,102.129997,103,101.339996,101.550003,75.144951,21043900
6/14/2002,100.309998,101.559998,98.5,101.400002,75.033936,39267500
6/17/2002,101.919998,104.339996,101.849998,104.120003,77.046722,17647200
6/18/2002,103.739998,105.029999,103.629997,104.970001,77.67569,21628500
6/19/2002,103.5,104.43,102.239998,102.519997,75.862717,21540700
6/20/2002,102.260002,103.050003,100.959999,101.209999,74.893341,25691000
6/21/2002,100.470001,100.93,98.68,99.279999,73.722321,31190700
6/24/2002,98.610001,100.690002,97.25,99.800003,74.108482,37169700
6/25/2002,100.300003,100.889999,97.540001,97.559998,72.445114,33355000
6/26/2002,95.199997,98.150002,95.190002,97.720001,72.563911,37913600
6/27/2002,98.5,99.489998,96.57,99.43,73.833694,31616400
6/28/2002,99.239998,100.5,98.879997,98.959999,73.48468,28184200
7/1/2002,99.18,99.800003,96.889999,97.029999,72.051537,20270200
7/2/2002,96.860001,97.199997,94.769997,94.970001,70.521843,34213900
7/3/2002,94.620003,95.839996,93.720001,95.510002,70.922836,30565800
7/5/2002,96.779999,99.529999,96.660004,99.309998,73.744591,19013500
7/8/2002,98.980003,99.699997,97.559998,98.07,72.823814,19118600
7/9/2002,97.730003,98.339996,95.010002,95.599998,70.98967,28620400
7/10/2002,96,96.07,92.040001,92.120003,68.40554,50522500
7/11/2002,91.760002,93.349998,90.32,92.870003,68.962456,59476500
7/12/2002,93.330002,93.889999,91.519997,91.849998,68.205032,39018600
7/15/2002,91.639999,92.400002,87.889999,92.339996,68.568886,77317200
7/16/2002,91.120003,92.379997,89.870003,90.559998,67.247131,53282400
7/17/2002,92.459999,93.300003,89.75,90.739998,67.380783,48880600
7/18/2002,90.699997,91.099998,87.75,87.800003,65.197639,32656700
7/19/2002,86.760002,87.550003,84.300003,84.709999,62.903091,77572600
7/22/2002,84.099998,85.910004,81.449997,82.199997,61.039223,78134000
7/23/2002,82.550003,83.239998,79.75,79.949997,59.368454,74484100
7/24/2002,78.129997,85.120003,77.68,84.720001,62.910522,107022800
7/25/2002,84.269997,85.849998,81.599998,84,62.375858,87176600
7/26/2002,84.650002,85.93,83.800003,85.599998,63.563961,41206800
7/29/2002,87.5,90.339996,87.300003,89.769997,66.660484,53492900
7/30/2002,89.32,91.400002,88.720001,90.940002,67.529312,47532200
7/31/2002,90.489998,91.550003,89.25,91.160004,67.69265,44669900
8/1/2002,90.879997,91.349998,88.330002,88.779999,65.925323,66571900
8/2/2002,88.5,88.910004,85.620003,86.790001,64.447632,51772900
8/5/2002,86.489998,86.93,83.550003,83.769997,62.205063,47191300
8/6/2002,85.230003,87.900002,85.110001,86.589996,64.29911,64730000
8/7/2002,87.870003,88.5,85.769997,88.099998,65.42038,43289400
8/8/2002,88.419998,91.099998,87.800003,90.949997,67.536713,48339800
8/9/2002,90.099998,91.940002,89.349998,91.290001,67.789215,41879200
8/12/2002,89.989998,91.269997,89.550003,90.620003,67.291695,25841700
8/13/2002,90.150002,91.660004,88.650002,88.970001,66.066429,49690500
8/14/2002,89.019997,92.629997,88.019997,92.220001,68.479774,57423600
8/15/2002,92.839996,93.989998,92.199997,93.5,69.430267,45551500
8/16/2002,92.82,94.080002,92,93.220001,69.222351,36517300
8/19/2002,93.459999,95.75,93.099998,95.400002,70.841133,33669900
8/20/2002,94.82,95.400002,93.620003,94.389999,70.091148,30508300
8/21/2002,95.059998,95.779999,93.57,95.75,71.101067,39628900
8/22/2002,95.489998,97.150002,95.07,96.68,71.791649,38399800
